item,family,gid,concept,gold,severity,category,note,fabricated_in_item
L1,lab,L1a,potassium,5.8 mmol/L,3,preserved,,
L1,lab,L1b,normal,3.5 mmol/L,1,preserved,,
L1,lab,L1c,normal,5.0 mmol/L,1,preserved,,
L2,lab,L2a,hba1c,8.2 %,2,preserved,,
L2,lab,L2b,target,7 %,2,preserved,,
L3,lab,L3a,creatinine,1.4 mg/dL,2,preserved,,
L3,lab,L3b,egfr,52,2,preserved,,
L4,lab,L4a,sodium,128 mmol/L,3,preserved,,
L4,lab,L4b,normal,135 mmol/L,1,preserved,,
L4,lab,L4c,normal,145 mmol/L,1,preserved,,
L5,lab,L5a,inr,4.5,3,preserved,,
L5,lab,L5b,target,2.0,2,preserved,,
L5,lab,L5c,target,3.0,2,preserved,,
D1,dose,D1a,levothyroxine,75 mcg,3,preserved,,
D1,dose,D1b,daily,1 per_day,2,preserved,,
D2,dose,D2a,amoxicillin,500 mg,3,preserved,,
D2,dose,D2b,times,3 per_day,2,preserved,,
D2,dose,D2c,days,7 days,2,preserved,,
D3,dose,D3a,digoxin,0.125 mg,3,preserved,,
D3,dose,D3b,daily,1 per_day,2,preserved,,
D4,dose,D4a,insulin,12 units,3,preserved,,
D5,dose,D5a,prednisolone,40 mg,3,preserved,,
D5,dose,D5b,days,5 days,2,preserved,,
D5,dose,D5c,prednisolone,20 mg,3,preserved,,
D5,dose,D5d,days,5 days,2,preserved,,
V1,vital,V1a,blood pressure,150/95 mmHg,2,preserved,,
V2,vital,V2a,temperature,38.5 C,2,preserved,,
V3,vital,V3a,weight,92 kg,1,preserved,,
V3,vital,V3b,bmi,31,2,preserved,,
V4,vital,V4a,oxygen,91 %,3,preserved,,
T1,date,T1a,weeks,2 weeks,1,preserved,,
T2,date,T2a,inhaler,2 per_day,2,preserved,,
T2,date,T2b,weeks,6 weeks,1,preserved,,
T3,date,T3a,hours,8 hours,2,preserved,,
R1,risk,R1a,risk,5 %,2,preserved,,
R2,risk,R2a,women,1/8 ratio,2,preserved,,
R3,risk,R3a,stroke,8 %,2,preserved,,
R3,risk,R3b,stroke,5 %,2,preserved,,
R3,risk,R3c,years,10 years,1,preserved,,
